DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15619272,753548,CTV-1,SIDM00951,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-2.999119,0.342242,0.14161,-2.045784
GDSC1,342,15640488,905938,HL-60,SIDM00829,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.498521,0.866312,0.125937,0.175108
GDSC1,342,15679597,906870,GDM-1,SIDM01057,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.949656,0.974154,0.029776,1.731502
GDSC1,342,15685092,907053,HEL,SIDM00594,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-3.590424,0.248073,0.075171,-2.421243
GDSC1,342,15696735,907275,KASUMI-1,SIDM01005,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.305978,0.831128,0.091384,0.052849
GDSC1,342,15697579,907278,KG-1,SIDM00785,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.193601,0.835286,0.055036,-0.018507
GDSC1,342,15698340,907280,KMOE-2,SIDM01019,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.303962,0.772744,0.17993,-0.334444
GDSC1,342,15702488,907300,KY821,SIDM00553,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.109991,0.917025,0.102469,0.563372
GDSC1,342,15717786,908141,ML-2,SIDM00441,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.302254,0.627683,0.124002,-0.968328
GDSC1,342,15720354,908148,MONO-MAC-6,SIDM01023,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.241605,0.813203,0.08167,0.011974
GDSC1,342,15726008,908448,NKM-1,SIDM00576,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.049376,0.779727,0.104953,-0.17279
GDSC1,342,15727176,908451,NOMO-1,SIDM00580,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.821839,0.862067,0.097777,0.380405
GDSC1,342,15738119,909253,P31-FUJ,SIDM00363,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.551223,0.994679,0.016536,1.478509
GDSC1,342,15760987,909771,THP-1,SIDM01172,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.944394,0.990306,0.023365,1.72816
GDSC1,342,15768751,910545,QIMR-WIL,SIDM00467,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.236918,0.917407,0.098471,0.643967
GDSC1,342,15770599,910566,CMK,SIDM00959,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.285518,0.872537,0.062767,0.039858
GDSC1,342,15772213,910688,CESS,SIDM00917,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.5876,0.958659,0.045347,0.866639
GDSC1,342,15792243,910947,OCI-AML2,SIDM00446,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.303042,0.887864,0.176916,0.050985
GDSC1,342,15853987,1290455,OCI-AML3,SIDM00462,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.171933,0.929805,0.093629,0.602703
GDSC1,342,15885701,1323913,NB4,SIDM00428,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.801743,0.717717,0.050926,-0.650519
GDSC1,342,15890102,1330942,ME-1,SIDM00338,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.072983,0.955415,0.039887,1.174841
GDSC1,342,15890490,1330947,MOLM-13,SIDM00437,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.400007,0.748049,0.063208,-0.395429
GDSC1,342,15890872,1330948,MOLM-16,SIDM00435,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.34503,0.941374,0.015681,0.712615
GDSC1,342,15893068,1330983,OCI-AML5,SIDM00461,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-3.020319,0.345455,0.049559,-2.059244
GDSC1,342,15893854,1330985,OCI-M1,SIDM00458,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.264146,0.883931,0.038894,0.026287
GDSC1,342,15894625,1330991,PL-21,SIDM00450,LAML,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.277246,0.743503,0.059333,-0.31748
