DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15579758,683667,PFSK-1,SIDM01132,MB,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.909071,0.895925,0.173553,0.435794
GDSC1,342,15580082,684052,A673,SIDM00848,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.462321,0.602038,0.091395,-1.069965
GDSC1,342,15580436,684057,ES5,SIDM00263,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.553071,0.576828,0.135526,-1.127588
GDSC1,342,15580810,684059,ES7,SIDM00269,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.124614,0.781401,0.218523,-0.220563
GDSC1,342,15581202,684062,EW-11,SIDM00203,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.334591,0.803059,0.12898,0.071017
GDSC1,342,15581546,684072,SK-ES-1,SIDM01111,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.253079,0.822878,0.197961,0.01926
GDSC1,342,15581934,687448,COLO-829,SIDM00909,SKCM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.868335,0.910454,0.094664,1.044896
GDSC1,342,15582311,687452,5637,SIDM00807,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.877622,0.695807,0.114041,-0.698699
GDSC1,342,15582658,687455,RT4,SIDM01085,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.207187,0.90529,0.129761,0.625088
GDSC1,342,15583007,687457,SW780,SIDM01160,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.331249,0.829794,0.049365,0.068896
GDSC1,342,15583353,687459,TCCSUP,SIDM01190,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.690808,0.855789,0.115775,0.297204
GDSC1,342,15583698,687505,C-33-A,SIDM00889,CESC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.193557,0.639828,0.096811,-0.899309
GDSC1,342,15584042,687506,C-4-I,SIDM00905,CESC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.915337,0.678261,0.134703,-0.722648
GDSC1,342,15584370,687514,ME-180,SIDM00627,CESC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.4503,0.838191,0.165151,0.144489
GDSC1,342,15584717,687561,42-MG-BA,SIDM00982,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.008108,0.801311,0.125547,-0.136289
GDSC1,342,15585063,687562,8-MG-BA,SIDM00998,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.021297,0.671224,0.08596,-0.789929
GDSC1,342,15585456,687563,A172,SIDM00799,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.012341,0.8062,0.149882,-0.133601
GDSC1,342,15585793,687568,GB-1,SIDM00581,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.26251,0.903247,0.092908,0.660216
GDSC1,342,15586186,687586,T98G,SIDM01171,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.521889,0.879158,0.144515,0.189946
GDSC1,342,15586531,687588,U-118-MG,SIDM01193,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.747186,0.852934,0.087636,0.333002
GDSC1,342,15586878,687590,U-87-MG,SIDM01189,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.535964,0.830704,0.05982,0.198883
GDSC1,342,15587262,687592,YKG-1,SIDM00315,GBM,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.249477,0.628029,0.095238,-0.934816
GDSC1,342,15587605,687596,ChaGo-K-1,SIDM00924,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.334222,0.822566,0.186906,0.070783
GDSC1,342,15587952,687600,NCI-H720,SIDM01120,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.334404,0.957133,0.075134,1.340836
GDSC1,342,15588337,687777,Calu-3,SIDM00922,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.210659,0.885969,0.054514,0.627293
GDSC1,342,15588691,687780,COR-L23,SIDM00512,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.278757,0.769405,0.056941,-0.31844
GDSC1,342,15589044,687787,LK-2,SIDM00548,LUSC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.983615,0.671158,0.161047,-0.766002
GDSC1,342,15589395,687794,NCI-H1437,SIDM00734,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.67902,0.709023,0.158116,-0.572593
GDSC1,342,15589735,687798,NCI-H1623,SIDM00747,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.908047,0.66712,0.138738,-0.718019
GDSC1,342,15590090,687799,NCI-H1648,SIDM00746,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.687399,0.918841,0.108678,0.930008
GDSC1,342,15590488,687800,NCI-H1650,SIDM00745,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.940088,0.874367,0.181653,0.455489
GDSC1,342,15590845,687802,NCI-H1693,SIDM00742,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.505844,0.871382,0.121778,0.814726
GDSC1,342,15591115,687804,NCI-H1770,SIDM00737,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,3.709159,0.992511,0.018777,2.213762
GDSC1,342,15591507,687807,NCI-H1838,SIDM00769,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.886733,0.951713,0.032794,1.691547
GDSC1,342,15591891,687812,NCI-H2085,SIDM00709,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.005214,0.792869,0.19601,-0.144748
GDSC1,342,15592214,687815,NCI-H2170,SIDM00716,LUSC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.450292,0.8343,0.181412,0.144484
